Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 15.56      0.07     0.07                             main
 13.33      0.13     0.06 20480000     0.00     0.00  std::tr2::__dynamic_bitset_base<unsigned long long, std::allocator<unsigned long long> >::_S_maskbit(unsigned long)
 11.11      0.18     0.05 20480000     0.00     0.00  std::tr2::__dynamic_bitset_base<unsigned long long, std::allocator<unsigned long long> >::_S_whichword(unsigned long)
  8.89      0.22     0.04 20480000     0.00     0.00  std::linear_congruential_engine<unsigned long, 48271ul, 0ul, 2147483647ul>::operator()()
  8.89      0.26     0.04 20480000     0.00     0.00  std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >::reference::operator=(bool)
  8.89      0.30     0.04 20480000     0.00     0.00  std::tr2::__dynamic_bitset_base<unsigned long long, std::allocator<unsigned long long> >::_M_getword(unsigned long)
  7.78      0.34     0.04 40960000     0.00     0.00  std::tr2::__dynamic_bitset_base<unsigned long long, std::allocator<unsigned long long> >::_S_whichbit(unsigned long)
  6.67      0.36     0.03 20480000     0.00     0.00  std::vector<unsigned long long, std::allocator<unsigned long long> >::operator[](unsigned long)
  5.56      0.39     0.03 20480000     0.00     0.00  std::__detail::_Mod<unsigned long, 2147483647ul, 48271ul, 0ul, true, true>::__calc(unsigned long)
  4.44      0.41     0.02 20480000     0.00     0.00  std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >::operator[](unsigned long)
  2.22      0.42     0.01 20480000     0.00     0.00  std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >::reference::reference(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >&, unsigned long)
  2.22      0.43     0.01 20480000     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 2147483647ul, 48271ul, 0ul>(unsigned long)
  2.22      0.44     0.01    80000     0.00     0.00  __gnu_cxx::new_allocator<unsigned long long>::new_allocator()
  2.22      0.45     0.01    40000     0.00     0.00  std::vector<unsigned long long, std::allocator<unsigned long long> >::vector(unsigned long, unsigned long long const&, std::allocator<unsigned long long> const&)
  0.00      0.45     0.00   200000     0.00     0.00  std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_M_get_Tp_allocator()
  0.00      0.45     0.00   160000     0.00     0.00  __gnu_cxx::new_allocator<unsigned long long>::~new_allocator()
  0.00      0.45     0.00   160000     0.00     0.00  std::allocator<unsigned long long>::~allocator()
  0.00      0.45     0.00   120000     0.00     0.00  __gnu_cxx::new_allocator<unsigned long long>::_M_max_size() const
  0.00      0.45     0.00   120000     0.00     0.00  void std::_Destroy_aux<true>::__destroy<unsigned long long*>(unsigned long long*, unsigned long long*)
  0.00      0.45     0.00   120000     0.00     0.00  std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_M_deallocate(unsigned long long*, unsigned long)
  0.00      0.45     0.00   120000     0.00     0.00  void std::_Destroy<unsigned long long*>(unsigned long long*, unsigned long long*)
  0.00      0.45     0.00   120000     0.00     0.00  void std::_Destroy<unsigned long long*, unsigned long long>(unsigned long long*, unsigned long long*, std::allocator<unsigned long long>&)
  0.00      0.45     0.00    80000     0.00     0.00  __gnu_cxx::new_allocator<unsigned long long>::deallocate(unsigned long long*, unsigned long)
  0.00      0.45     0.00    80000     0.00     0.00  __gnu_cxx::new_allocator<unsigned long long>::allocate(unsigned long, void const*)
  0.00      0.45     0.00    80000     0.00     0.00  __gnu_cxx::new_allocator<unsigned long long>::new_allocator(__gnu_cxx::new_allocator<unsigned long long> const&)
  0.00      0.45     0.00    80000     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::__normal_iterator(unsigned long long const* const&)
  0.00      0.45     0.00    80000     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::base() const
  0.00      0.45     0.00    80000     0.00     0.00  std::allocator<unsigned long long>::allocator(std::allocator<unsigned long long> const&)
  0.00      0.45     0.00    80000     0.00     0.00  std::allocator<unsigned long long>::allocator()
  0.00      0.45     0.00    80000     0.00     0.00  std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_M_allocate(unsigned long)
  0.00      0.45     0.00    80000     0.00     0.00  std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_Vector_impl::~_Vector_impl()
  0.00      0.45     0.00    80000     0.00     0.00  std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.45     0.00    80000     0.00     0.00  std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::~_Vector_base()
  0.00      0.45     0.00    80000     0.00     0.00  std::allocator_traits<std::allocator<unsigned long long> >::deallocate(std::allocator<unsigned long long>&, unsigned long long*, unsigned long)
  0.00      0.45     0.00    80000     0.00     0.00  std::allocator_traits<std::allocator<unsigned long long> >::allocate(std::allocator<unsigned long long>&, unsigned long)
  0.00      0.45     0.00    80000     0.00     0.00  std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >::~dynamic_bitset()
  0.00      0.45     0.00    80000     0.00     0.00  std::tr2::__dynamic_bitset_base<unsigned long long, std::allocator<unsigned long long> >::~__dynamic_bitset_base()
  0.00      0.45     0.00    80000     0.00     0.00  std::vector<unsigned long long, std::allocator<unsigned long long> >::~vector()
  0.00      0.45     0.00    80000     0.00     0.00  std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >* std::__addressof<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > >(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >&)
  0.00      0.45     0.00    80000     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > > std::__miter_base<__gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >(__gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >)
  0.00      0.45     0.00    80000     0.00     0.00  unsigned long long const* std::__niter_base<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >(__gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >)
  0.00      0.45     0.00    40004     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.45     0.00    40000     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<unsigned long long>, unsigned long long>::_S_propagate_on_copy_assign()
  0.00      0.45     0.00    40000     0.00     0.00  __gnu_cxx::new_allocator<unsigned long long>::max_size() const
  0.00      0.45     0.00    40000     0.00     0.00  std::vector<unsigned long long, std::allocator<unsigned long long> >::end() const
  0.00      0.45     0.00    40000     0.00     0.00  std::vector<unsigned long long, std::allocator<unsigned long long> >::size() const
  0.00      0.45     0.00    40000     0.00     0.00  std::vector<unsigned long long, std::allocator<unsigned long long> >::begin() const
  0.00      0.45     0.00    40000     0.00     0.00  std::vector<unsigned long long, std::allocator<unsigned long long> >::capacity() const
  0.00      0.45     0.00    40000     0.00     0.00  unsigned long long* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<unsigned long long>(unsigned long long const*, unsigned long long const*, unsigned long long*)
  0.00      0.45     0.00    40000     0.00     0.00  std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_Vector_impl::_Vector_impl(std::allocator<unsigned long long> const&)
  0.00      0.45     0.00    40000     0.00     0.00  std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_Vector_impl::_Vector_impl()
  0.00      0.45     0.00    40000     0.00     0.00  std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_M_create_storage(unsigned long)
  0.00      0.45     0.00    40000     0.00     0.00  std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_Vector_base(unsigned long, std::allocator<unsigned long long> const&)
  0.00      0.45     0.00    40000     0.00     0.00  std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_Vector_base()
