Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.45     0.00    40000     0.00     0.00  std::allocator_traits<std::allocator<unsigned long long> >::max_size(std::allocator<unsigned long long> const&)
  0.00      0.45     0.00    40000     0.00     0.00  unsigned long long* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, unsigned long long*>(__gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, unsigned long long*)
  0.00      0.45     0.00    40000     0.00     0.00  unsigned long long* std::__uninitialized_fill_n<true>::__uninit_fill_n<unsigned long long*, unsigned long, unsigned long long>(unsigned long long*, unsigned long, unsigned long long const&)
  0.00      0.45     0.00    40000     0.00     0.00  std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >::dynamic_bitset(unsigned long, unsigned long long, std::allocator<unsigned long long> const&)
  0.00      0.45     0.00    40000     0.00     0.00  std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >::dynamic_bitset()
  0.00      0.45     0.00    40000     0.00     0.00  std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >::operator=(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > const&)
  0.00      0.45     0.00    40000     0.00     0.00  std::tr2::__dynamic_bitset_base<unsigned long long, std::allocator<unsigned long long> >::__dynamic_bitset_base(unsigned long, unsigned long long, std::allocator<unsigned long long> const&)
  0.00      0.45     0.00    40000     0.00     0.00  std::tr2::__dynamic_bitset_base<unsigned long long, std::allocator<unsigned long long> >::__dynamic_bitset_base()
  0.00      0.45     0.00    40000     0.00     0.00  std::tr2::__dynamic_bitset_base<unsigned long long, std::allocator<unsigned long long> >::operator=(std::tr2::__dynamic_bitset_base<unsigned long long, std::allocator<unsigned long long> > const&)
  0.00      0.45     0.00    40000     0.00     0.00  std::vector<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::operator[](unsigned long)
  0.00      0.45     0.00    40000     0.00     0.00  std::vector<unsigned long long, std::allocator<unsigned long long> >::_S_max_size(std::allocator<unsigned long long> const&)
  0.00      0.45     0.00    40000     0.00     0.00  std::vector<unsigned long long, std::allocator<unsigned long long> >::_S_check_init_len(unsigned long, std::allocator<unsigned long long> const&)
  0.00      0.45     0.00    40000     0.00     0.00  std::vector<unsigned long long, std::allocator<unsigned long long> >::_M_fill_initialize(unsigned long, unsigned long long const&)
  0.00      0.45     0.00    40000     0.00     0.00  unsigned long long* std::vector<unsigned long long, std::allocator<unsigned long long> >::_M_allocate_and_copy<__gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >(unsigned long, __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >)
  0.00      0.45     0.00    40000     0.00     0.00  std::vector<unsigned long long, std::allocator<unsigned long long> >::vector()
  0.00      0.45     0.00    40000     0.00     0.00  std::vector<unsigned long long, std::allocator<unsigned long long> >::operator=(std::vector<unsigned long long, std::allocator<unsigned long long> > const&)
  0.00      0.45     0.00    40000     0.00     0.00  void std::_Construct<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >>(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*)
  0.00      0.45     0.00    40000     0.00     0.00  unsigned long long* std::__fill_n_a<unsigned long long*, unsigned long, unsigned long long>(unsigned long long*, unsigned long, unsigned long long const&, std::random_access_iterator_tag)
  0.00      0.45     0.00    40000     0.00     0.00  unsigned long long* std::__niter_base<unsigned long long*>(unsigned long long*)
  0.00      0.45     0.00    40000     0.00     0.00  unsigned long long* std::__niter_wrap<unsigned long long*>(unsigned long long* const&, unsigned long long*)
  0.00      0.45     0.00    40000     0.00     0.00  unsigned long long* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, unsigned long long*>(__gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, unsigned long long*)
  0.00      0.45     0.00    40000     0.00     0.00  unsigned long long* std::__copy_move_a1<false, unsigned long long const*, unsigned long long*>(unsigned long long const*, unsigned long long const*, unsigned long long*)
  0.00      0.45     0.00    40000     0.00     0.00  unsigned long long* std::__copy_move_a2<false, unsigned long long const*, unsigned long long*>(unsigned long long const*, unsigned long long const*, unsigned long long*)
  0.00      0.45     0.00    40000     0.00     0.00  std::__size_to_integer(unsigned long)
  0.00      0.45     0.00    40000     0.00     0.00  unsigned long long* std::uninitialized_copy<__gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, unsigned long long*>(__gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, unsigned long long*)
  0.00      0.45     0.00    40000     0.00     0.00  std::iterator_traits<unsigned long long*>::iterator_category std::__iterator_category<unsigned long long*>(unsigned long long* const&)
  0.00      0.45     0.00    40000     0.00     0.00  unsigned long long* std::uninitialized_fill_n<unsigned long long*, unsigned long, unsigned long long>(unsigned long long*, unsigned long, unsigned long long const&)
  0.00      0.45     0.00    40000     0.00     0.00  unsigned long long* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, unsigned long long*, unsigned long long>(__gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, unsigned long long*, std::allocator<unsigned long long>&)
  0.00      0.45     0.00    40000     0.00     0.00  unsigned long long* std::__uninitialized_fill_n_a<unsigned long long*, unsigned long, unsigned long long, unsigned long long>(unsigned long long*, unsigned long, unsigned long long const&, std::allocator<unsigned long long>&)
  0.00      0.45     0.00    40000     0.00     0.00  unsigned long long* std::copy<__gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, unsigned long long*>(__gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, unsigned long long*)
  0.00      0.45     0.00    40000     0.00     0.00  unsigned long long* std::fill_n<unsigned long long*, unsigned long, unsigned long long>(unsigned long long*, unsigned long, unsigned long long const&)
  0.00      0.45     0.00    40000     0.00     0.00  void std::_Destroy<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > >(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*)
  0.00      0.45     0.00    40000     0.00     0.00  void std::__fill_a<unsigned long long*, unsigned long long>(unsigned long long*, unsigned long long*, unsigned long long const&)
  0.00      0.45     0.00    40000     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<unsigned long long>::__value, void>::__type std::__fill_a1<unsigned long long*, unsigned long long>(unsigned long long*, unsigned long long*, unsigned long long const&)
  0.00      0.45     0.00    40000     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.45     0.00        8     0.00     0.00  std::vector<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::size() const
  0.00      0.45     0.00        5     0.00     0.00  __gnu_cxx::new_allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > >::_M_max_size() const
  0.00      0.45     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > >::max_size() const
  0.00      0.45     0.00        4     0.00     0.00  std::_Vector_base<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::_M_get_Tp_allocator() const
  0.00      0.45     0.00        4     0.00     0.00  std::vector<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::max_size() const
  0.00      0.45     0.00        4     0.00     0.00  std::allocator_traits<std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::max_size(std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > const&)
  0.00      0.45     0.00        4     0.00     0.00  std::vector<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::_S_max_size(std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > const&)
  0.00      0.45     0.00        3     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::count() const
  0.00      0.45     0.00        3     0.00     0.00  std::_Vector_base<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::_M_get_Tp_allocator()
  0.00      0.45     0.00        3     0.00     0.00  std::__detail::_Mod<unsigned long, 2147483647ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      0.45     0.00        3     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 2147483647ul, 1ul, 0ul>(unsigned long)
  0.00      0.45     0.00        3     0.00     0.00  std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >* std::__niter_base<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*>(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*)
  0.00      0.45     0.00        2     0.00     0.00  std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::time_since_epoch() const
  0.00      0.45     0.00        2     0.00     0.00  std::_Vector_base<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::_M_deallocate(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, unsigned long)
  0.00      0.45     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      0.45     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > >::deallocate(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, unsigned long)
  0.00      0.45     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > >::allocate(unsigned long, void const*)
  0.00      0.45     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > >::new_allocator()
  0.00      0.45     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > >::~new_allocator()
  0.00      0.45     0.00        1     0.00     0.00  std::vector<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::_M_check_len(unsigned long, char const*) const
  0.00      0.45     0.00        1     0.00     0.00  std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > >::allocator()
  0.00      0.45     0.00        1     0.00     0.00  std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > >::~allocator()
  0.00      0.45     0.00        1     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*>(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*)
  0.00      0.45     0.00        1     0.00     0.00  std::_Vector_base<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::_M_allocate(unsigned long)
  0.00      0.45     0.00        1     0.00     0.00  std::_Vector_base<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::_Vector_impl::_Vector_impl()
  0.00      0.45     0.00        1     0.00     0.00  std::_Vector_base<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::_Vector_impl::~_Vector_impl()
  0.00      0.45     0.00        1     0.00     0.00  std::_Vector_base<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.45     0.00        1     0.00     0.00  std::_Vector_base<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::_Vector_base()
  0.00      0.45     0.00        1     0.00     0.00  std::_Vector_base<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::~_Vector_base()
  0.00      0.45     0.00        1     0.00     0.00  std::allocator_traits<std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::deallocate(std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > >&, std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, unsigned long)
  0.00      0.45     0.00        1     0.00     0.00  std::allocator_traits<std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::allocate(std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > >&, unsigned long)
  0.00      0.45     0.00        1     0.00     0.00  std::linear_congruential_engine<unsigned long, 48271ul, 0ul, 2147483647ul>::seed(unsigned long)
  0.00      0.45     0.00        1     0.00     0.00  std::linear_congruential_engine<unsigned long, 48271ul, 0ul, 2147483647ul>::linear_congruential_engine(unsigned long)
  0.00      0.45     0.00        1     0.00     0.00  std::linear_congruential_engine<unsigned long, 48271ul, 0ul, 2147483647ul>::linear_congruential_engine()
  0.00      0.45     0.00        1     0.00     5.00  std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >* std::__uninitialized_default_n_1<false>::__uninit_default_n<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, unsigned long>(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, unsigned long)
  0.00      0.45     0.00        1     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::duration<long, void>(long const&)
  0.00      0.45     0.00        1     0.00     0.00  std::common_type<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::operator-<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >(std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&, std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&)
  0.00      0.45     0.00        1     0.00     0.00  std::common_type<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::operator-<long, std::ratio<1l, 1000000000l>, long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&, std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00      0.45     0.00        1     0.00     0.00  std::vector<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::_S_relocate(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > >&)
  0.00      0.45     0.00        1     0.00     0.00  std::vector<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::_S_do_relocate(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > >&, std::integral_constant<bool, true>)
  0.00      0.45     0.00        1     0.00     5.00  std::vector<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::_M_default_append(unsigned long)
  0.00      0.45     0.00        1     0.00     5.00  std::vector<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::resize(unsigned long)
  0.00      0.45     0.00        1     0.00     0.00  std::vector<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::vector()
  0.00      0.45     0.00        1     0.00     0.00  std::vector<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::~vector()
  0.00      0.45     0.00        1     0.00     0.00  std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >* std::__relocate_a<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > >&)
