Platform,File,PKG,DRAM,seconds,size
laptop-Intel, manzoni_i_promessi_sposi_1840, 5.141955, 0.214294,  0.3212301731109619,1327627
laptop-Intel, manzoni_i_promessi_sposi_1840, 5.478075, 0.22943,  0.3296189308166504,1327627
laptop-Intel, manzoni_i_promessi_sposi_1840, 5.950241, 0.219421,  0.3231346607208252,1327627
laptop-Intel, manzoni_i_promessi_sposi_1840, 5.278734, 0.247314,  0.3344447612762451,1327627
laptop-Intel, manzoni_i_promessi_sposi_1840, 5.89299, 0.232238,  0.337383508682251,1327627
laptop-Intel, manzoni_i_promessi_sposi_1840, 5.93193, 0.218688,  0.32377195358276367,1327627
laptop-Intel, malavoglia, 2.959221, 0.121215,  0.14401459693908691,546382
laptop-Intel, malavoglia, 1.723079, 0.079772,  0.12393021583557129,546382
laptop-Intel, malavoglia, 2.565728, 0.110717,  0.1357719898223877,546382
laptop-Intel, malavoglia, 2.355401, 0.091736,  0.13096117973327637,546382
laptop-Intel, malavoglia, 2.624567, 0.081726,  0.12831640243530273,546382
laptop-Intel, malavoglia, 1.854976, 0.084838,  0.130446195602417,546382
laptop-Intel, malavoglia, 2.00262, 0.083618,  0.12390446662902832,546382
laptop-Intel, malavoglia, 1.935054, 0.082214,  0.12645268440246582,546382
laptop-Intel, malavoglia, 1.538326, 0.084899,  0.1270735263824463,546382
laptop-Intel, malavoglia, 1.92126, 0.083008,  0.13013505935668945,546382
laptop-Intel, malavoglia, 2.255549, 0.091248,  0.13723087310791016,546382
laptop-Intel, malavoglia, 2.250117, 0.080689,  0.12712812423706055,546382
laptop-Intel, malavoglia, 1.960567, 0.087524,  0.12657713890075684,546382
laptop-Intel, malavoglia, 2.028315, 0.082092,  0.12401342391967773,546382
laptop-Intel, malavoglia, 2.01092, 0.083191,  0.12334847450256348,546382
laptop-Intel, malavoglia, 2.216181, 0.078858,  0.12363171577453613,546382
laptop-Intel, malavoglia, 1.576595, 0.081664,  0.12816262245178223,546382
laptop-Intel, malavoglia, 1.990412, 0.085083,  0.1276695728302002,546382
laptop-Intel, malavoglia, 1.909541, 0.096313,  0.1290602684020996,546382
laptop-Intel, malavoglia, 2.178217, 0.083191,  0.12739086151123047,546382
