Platform,File,PKG,seconds,size
desktop-AMD, manzoni_i_promessi_sposi_1840, 5.831501, 0.15395426750183105,1327627
desktop-AMD, manzoni_i_promessi_sposi_1840, 7.153195, 0.15218710899353027,1327627
desktop-AMD, manzoni_i_promessi_sposi_1840, 6.757402, 0.141707181930542,1327627
desktop-AMD, manzoni_i_promessi_sposi_1840, 7.097442, 0.15109038352966309,1327627
desktop-AMD, manzoni_i_promessi_sposi_1840, 6.550198, 0.14720702171325684,1327627
desktop-AMD, manzoni_i_promessi_sposi_1840, 6.892955, 0.1427769660949707,1327627
desktop-AMD, manzoni_i_promessi_sposi_1840, 7.043306, 0.1482677459716797,1327627
desktop-AMD, manzoni_i_promessi_sposi_1840, 6.61654, 0.1433110237121582,1327627
desktop-AMD, manzoni_i_promessi_sposi_1840, 6.413914, 0.14278411865234375,1327627
desktop-AMD, manzoni_i_promessi_sposi_1840, 6.755754, 0.14245057106018066,1327627
desktop-AMD, manzoni_i_promessi_sposi_1840, 7.245994, 0.14370179176330566,1327627
desktop-AMD, manzoni_i_promessi_sposi_1840, 6.140734, 0.13634157180786133,1327627
desktop-AMD, manzoni_i_promessi_sposi_1840, 6.41698, 0.14233016967773438,1327627
desktop-AMD, manzoni_i_promessi_sposi_1840, 6.313943, 0.13988709449768066,1327627
desktop-AMD, manzoni_i_promessi_sposi_1840, 7.245475, 0.1446526050567627,1327627
desktop-AMD, manzoni_i_promessi_sposi_1840, 6.07897, 0.1368410587310791,1327627
desktop-AMD, manzoni_i_promessi_sposi_1840, 6.744585, 0.1444406509399414,1327627
desktop-AMD, manzoni_i_promessi_sposi_1840, 6.357551, 0.13898468017578125,1327627
desktop-AMD, manzoni_i_promessi_sposi_1840, 6.99059, 0.1476576328277588,1327627
desktop-AMD, manzoni_i_promessi_sposi_1840, 6.83235, 0.150803804397583,1327627
desktop-AMD, manzoni_i_promessi_sposi_1840, 6.827787, 0.1510331630706787,1327627
desktop-AMD, manzoni_i_promessi_sposi_1840, 6.429797, 0.14449143409729004,1327627
desktop-AMD, manzoni_i_promessi_sposi_1840, 7.525383, 0.14647221565246582,1327627
desktop-AMD, manzoni_i_promessi_sposi_1840, 6.866085, 0.1450057029724121,1327627
desktop-AMD, manzoni_i_promessi_sposi_1840, 6.377661, 0.14426612854003906,1327627
desktop-AMD, manzoni_i_promessi_sposi_1840, 6.109563, 0.1382129192352295,1327627
desktop-AMD, manzoni_i_promessi_sposi_1840, 6.85159, 0.14189457893371582,1327627
desktop-AMD, manzoni_i_promessi_sposi_1840, 7.923617, 0.14370465278625488,1327627
desktop-AMD, manzoni_i_promessi_sposi_1840, 6.511382, 0.14478445053100586,1327627
desktop-AMD, manzoni_i_promessi_sposi_1840, 6.494537, 0.14490222930908203,1327627
