Platform;File;PKG;seconds
node; manzoni_i_promessi_sposi_1840; 2.86; 0.07872742
node; manzoni_i_promessi_sposi_1840; 4.49; 0.06869916
node; manzoni_i_promessi_sposi_1840; 4.62; 0.06586529
node; manzoni_i_promessi_sposi_1840; 4.06; 0.06343386
node; manzoni_i_promessi_sposi_1840; 4.27; 0.06428945
node; manzoni_i_promessi_sposi_1840; 3.88; 0.06362529
node; manzoni_i_promessi_sposi_1840; 4.64; 0.06508856
node; manzoni_i_promessi_sposi_1840; 3.70; 0.06290732
node; manzoni_i_promessi_sposi_1840; 4.28; 0.06446675
node; manzoni_i_promessi_sposi_1840; 4.13; 0.06368488
node; manzoni_i_promessi_sposi_1840; 3.88; 0.06248824
node; manzoni_i_promessi_sposi_1840; 3.91; 0.06185076
node; manzoni_i_promessi_sposi_1840; 3.88; 0.06065733
node; manzoni_i_promessi_sposi_1840; 3.70; 0.06299599
node; manzoni_i_promessi_sposi_1840; 4.58; 0.06819147
node; manzoni_i_promessi_sposi_1840; 4.88; 0.06939564
node; manzoni_i_promessi_sposi_1840; 4.08; 0.06133011
node; manzoni_i_promessi_sposi_1840; 3.45; 0.06175472
node; manzoni_i_promessi_sposi_1840; 4.07; 0.06084826
node; manzoni_i_promessi_sposi_1840; 3.87; 0.06255585
node; manzoni_i_promessi_sposi_1840; 4.33; 0.06270758
node; manzoni_i_promessi_sposi_1840; 4.40; 0.06287159
node; manzoni_i_promessi_sposi_1840; 4.21; 0.06416911
node; manzoni_i_promessi_sposi_1840; 4.52; 0.06212010
node; manzoni_i_promessi_sposi_1840; 4.20; 0.06391688
node; manzoni_i_promessi_sposi_1840; 4.31; 0.06499326
node; manzoni_i_promessi_sposi_1840; 3.88; 0.06532898
node; manzoni_i_promessi_sposi_1840; 4.34; 0.06410132
node; manzoni_i_promessi_sposi_1840; 4.05; 0.06538715
node; manzoni_i_promessi_sposi_1840; 3.93; 0.06622713
node; malavoglia; 2.41; 0.03220649
node; malavoglia; 2.61; 0.03364273
node; malavoglia; 2.44; 0.03367228
node; malavoglia; 2.43; 0.03375081
node; malavoglia; 2.23; 0.03272989
node; malavoglia; 2.75; 0.03430931
node; malavoglia; 2.73; 0.03345372
node; malavoglia; 2.73; 0.03382084
node; malavoglia; 2.41; 0.03368338
node; malavoglia; 2.52; 0.03254076
node; malavoglia; 2.89; 0.03349867
node; malavoglia; 2.21; 0.03216942
node; malavoglia; 2.77; 0.03310593
node; malavoglia; 2.22; 0.03289127
node; malavoglia; 2.29; 0.03360473
node; malavoglia; 2.62; 0.03237531
node; malavoglia; 2.45; 0.03290483
node; malavoglia; 2.64; 0.03302425
node; malavoglia; 2.64; 0.03250923
node; malavoglia; 2.18; 0.03249977
node; malavoglia; 2.34; 0.03160953
node; malavoglia; 2.24; 0.03165238
node; malavoglia; 2.52; 0.03235935
node; malavoglia; 2.72; 0.03332202
node; malavoglia; 2.62; 0.03446617
node; malavoglia; 2.62; 0.03539006
node; malavoglia; 3.11; 0.03263671
node; malavoglia; 2.23; 0.03194195
node; malavoglia; 2.05; 0.03157250
node; malavoglia; 2.69; 0.03318498
node; 3romanzi; 7.58; 0.11346756
node; 3romanzi; 7.79; 0.11648625
node; 3romanzi; 6.99; 0.11350276
node; 3romanzi; 7.28; 0.12243965
node; 3romanzi; 7.76; 0.11731741
node; 3romanzi; 7.84; 0.12359699
node; 3romanzi; 7.59; 0.11337624
node; 3romanzi; 6.82; 0.11349491
node; 3romanzi; 7.50; 0.11784470
node; 3romanzi; 6.94; 0.11208158
node; 3romanzi; 7.20; 0.11505656
node; 3romanzi; 7.32; 0.11702145
node; 3romanzi; 7.81; 0.11890558
node; 3romanzi; 6.63; 0.12122630
node; 3romanzi; 7.72; 0.11969096
node; 3romanzi; 6.81; 0.11176220
node; 3romanzi; 7.74; 0.12279843
node; 3romanzi; 7.55; 0.12558261
node; 3romanzi; 7.46; 0.11750054
node; 3romanzi; 7.27; 0.11794399
node; 3romanzi; 7.26; 0.11883939
node; 3romanzi; 7.66; 0.12121236
node; 3romanzi; 7.11; 0.11687393
node; 3romanzi; 7.93; 0.11763255
node; 3romanzi; 7.68; 0.12352457
node; 3romanzi; 7.65; 0.11711635
node; 3romanzi; 7.11; 0.11403182
node; 3romanzi; 7.51; 0.11886898
node; 3romanzi; 7.68; 0.12150377
node; 3romanzi; 6.27; 0.11156636
